"colonna1","colonna2"
"Who is the puppet master? Replication of a parasitic wasp-associated virus correlates with host behaviour manipulation","Who is the puppet master? Replication of a parasitic wasp-associated virus correlates with host behaviour manipulation"
"Who is in control of the stickleback immune system:: interactions between Schistocephalus solidus and its specific vertebrate host","Who is in control of the stickleback immune system:: interactions between Schistocephalus solidus and its specific vertebrate host"
"Whether larval amphibians school does not affect the parasite aggregation rule: testing the effects of host spatial heterogeneity in field and experimental studies","Whether larval amphibians school does not affect the parasite aggregation rule: testing the effects of host spatial heterogeneity in field and experimental studies"
"Where the baculoviruses lead, the caterpillars follow: baculovirus-induced alterations in caterpillar behaviour","Where the baculoviruses lead, the caterpillars follow: baculovirus-induced alterations in caterpillar behaviour"
"When trophically-transmitted parasites combine predation enhancement with predation suppression to optimize their transmission","When trophically-transmitted parasites combine predation enhancement with predation suppression to optimize their transmission"
"WHEN TO GO: OPTIMIZATION OF HOST SWITCHING IN PARASITES WITH COMPLEX LIFE CYCLES","WHEN TO GO: OPTIMIZATION OF HOST SWITCHING IN PARASITES WITH COMPLEX LIFE CYCLES"
"WHEN SHOULD A TROPHICALLY TRANSMITTED PARASITE MANIPULATE ITS HOST?","WHEN SHOULD A TROPHICALLY TRANSMITTED PARASITE MANIPULATE ITS HOST?"
"When should a trophically transmitted parasite exploit host compensatory responses?","When should a trophically transmitted parasite exploit host compensatory responses?"
"When should a trophically and vertically transmitted parasite manipulate its intermediate host? The case of Toxoplasma gondii","When should a trophically and vertically transmitted parasite manipulate its intermediate host? The case of Toxoplasma gondii"
"When parasites disagree: Evidence for parasite-induced sabotage of host manipulation","When parasites disagree: Evidence for parasite-induced sabotage of host manipulation"
"When fiction becomes fact: exaggerating host manipulation by parasites","When fiction becomes fact: exaggerating host manipulation by parasites"
"When a parasite breaks all the rules of a colony: morphology and fate of wasps infected by a strepsipteran endoparasite","When a parasite breaks all the rules of a colony: morphology and fate of wasps infected by a strepsipteran endoparasite"
"What Controls the Acute Viral Infection Following Yellow Fever Vaccination?","What Controls the Acute Viral Infection Following Yellow Fever Vaccination?"
"What can parasitoid wasps teach us about decision-making in insects?","What can parasitoid wasps teach us about decision-making in insects?"
"What are the evolutionary constraints on larval growth in a trophically transmitted parasite?","What are the evolutionary constraints on larval growth in a trophically transmitted parasite?"
"Water-seeking behavior in worm-infected crickets and reversibility of parasitic manipulation","Water-seeking behavior in worm-infected crickets and reversibility of parasitic manipulation"
"Water-seeking behavior in insects harboring hairworms: should the host collaborate?","Water-seeking behavior in insects harboring hairworms: should the host collaborate?"
"Water fleas require microbiota for survival, growth and reproduction","Water fleas require microbiota for survival, growth and reproduction"
"Walking with insects: molecular mechanisms behind parasitic manipulation of host behaviour","Walking with insects: molecular mechanisms behind parasitic manipulation of host behaviour"
"Visual trickery in avian brood parasites","Visual trickery in avian brood parasites"
"Virus infection alters the predatory behavior of an omnivorous vector","Virus infection alters the predatory behavior of an omnivorous vector"
"Virus effects on plant quality and vector behavior are species specific and do not depend on host physiological phenotype","Virus effects on plant quality and vector behavior are species specific and do not depend on host physiological phenotype"
"Virulence of lizard malaria:: Three species of Plasmodium infecting Anolis sabanus, the endemic anole of Saba, Netherlands Antilles","Virulence of lizard malaria:: Three species of Plasmodium infecting Anolis sabanus, the endemic anole of Saba, Netherlands Antilles"
"Viral manipulation of the host immune response","Viral niche construction alters hosts and ecosystems at multiple scales"
"Viral niche construction alters hosts and ecosystems at multiple scales","Viral manipulations of the actin cytoskeleton"
"Viral manipulations of the actin cytoskeleton","Viral manipulation of the host immune response"
"Viral infection changes the expression of personality traits in an insect species reared for consumption","Viral infection changes the expression of personality traits in an insect species reared for consumption"
"Vicariance in a generalist fish parasite driven by climate and salinity tolerance of hosts","Vicariance in a generalist fish parasite driven by climate and salinity tolerance of hosts"
"Vesicles as Vehicles for Virulence","Vesicles as Vehicles for Virulence"
"Venom Proteins from Endoparasitoid Wasps and Their Role in Host-Parasite Interactions","Venom Proteins from Endoparasitoid Wasps and Their Role in Host-Parasite Interactions"
"Vector microbiota manipulation by host antibodies: the forgotten strategy to develop transmission-blocking vaccines","Vector microbiota manipulation by host antibodies: the forgotten strategy to develop transmission-blocking vaccines"
"Vector competence and feeding-excretion behavior of Triatoma rubrovaria (Blanchard, 1843) (Hemiptera: Reduviidae) infected with Trypanosoma cruzi TcVI","Vector competence and feeding-excretion behavior of Triatoma rubrovaria (Blanchard, 1843) (Hemiptera: Reduviidae) infected with Trypanosoma cruzi TcVI"
"VARIATION BETWEEN POPULATIONS AND LOCAL ADAPTATION IN ACANTHOCEPHALAN-INDUCED PARASITE MANIPULATION","VARIATION BETWEEN POPULATIONS AND LOCAL ADAPTATION IN ACANTHOCEPHALAN-INDUCED PARASITE MANIPULATION"
"Var transcription profiling of Plasmodium falciparum 3D7:: assignment of cytoadherent phenotypes to dominant transcripts","Var transcription profiling of Plasmodium falciparum 3D7:: assignment of cytoadherent phenotypes to dominant transcripts"
"Utilization of proliferable extracellular amastigotes for transient gene expression, drug sensitivity assay, and CRISPR/Cas9-mediated gene knockout in Trypanosoma cruzi","Utilization of proliferable extracellular amastigotes for transient gene expression, drug sensitivity assay, and CRISPR/Cas9-mediated gene knockout in Trypanosoma cruzi"
"Using experimental de-worming to measure the immunological and pathological impacts of lungworm infection in cane toads","Using experimental de-worming to measure the immunological and pathological impacts of lungworm infection in cane toads"
"Using an ecosystem-level manipulation to understand host-parasite interactions and how they vary with study venue","Using an ecosystem-level manipulation to understand host-parasite interactions and how they vary with study venue"
"Using 3D printed eggs to examine the egg-rejection behaviour of wild birds","Using 3D printed eggs to examine the egg-rejection behaviour of wild birds"
"Use of trade-off theory to advance understanding of herbivore-parasite interactions","Use of trade-off theory to advance understanding of herbivore-parasite interactions"
"Use of social over personal information enhances nest defense against avian brood parasitism","Use of social over personal information enhances nest defense against avian brood parasitism"
"Use of miRNAs to Study Host Cell-Parasite Interactions","Use of miRNAs to Study Host Cell-Parasite Interactions"
"Update on Cryptosporidium spp.: highlights from the Seventh International Giardia and Cryptosporidium Conference","Update on the intricate tango between tick microbiomes and tick-borne pathogens"
"Update on the intricate tango between tick microbiomes and tick-borne pathogens","Update on Cryptosporidium spp.: highlights from the Seventh International Giardia and Cryptosporidium Conference"
"Universal highly efficient conditional knockout system in Leishmania, with a focus on untranscribed region preservation","Universal highly efficient conditional knockout system in Leishmania, with a focus on untranscribed region preservation"
"Unique physiology of host-parasite interactions in microsporidia infections","Unique physiology of host-parasite interactions in microsporidia infections"
"UNDERSTANDING THE INTRACELLULAR NICHE IN CNIDARIAN-SYMBIODINIUM SYMBIOSES: PARASITES LEAD THE WAY","UNDERSTANDING THE INTRACELLULAR NICHE IN CNIDARIAN-SYMBIODINIUM SYMBIOSES: PARASITES LEAD THE WAY"
"Under the influence:: Webs and building behavior of Plesiometa argyra (Araneae, Tetragnathidae) when parasitized by Hymenoepimecis argyraphaga (Hymenoptera, Ichneumonidae)","Under the influence:: Webs and building behavior of Plesiometa argyra (Araneae, Tetragnathidae) when parasitized by Hymenoepimecis argyraphaga (Hymenoptera, Ichneumonidae)"
"Unbalanced relationships: insights into the interaction between gut microbiota, geohelminths, and schistosomiasis","Unbalanced relationships: insights into the interaction between gut microbiota, geohelminths, and schistosomiasis"
"Ubiquitination and SUMOylation in HIV Infection: Friends and Foes","Ubiquitination and SUMOylation in HIV Infection: Friends and Foes"
"Two steps to suicide in crickets harbouring hairworms","Two steps to suicide in crickets harbouring hairworms"
"Two different strategies of host manipulation allow parasites to persist in intermediate-definitive host systems","Two different strategies of host manipulation allow parasites to persist in intermediate-definitive host systems"
"Tumors alter life history traits in the freshwater cnidarian, Hydra oligactis","Tumors alter life history traits in the freshwater cnidarian, Hydra oligactis"
"Tumor necrosis factor α is a critical component of interleukin 13-mediated protective T helper cell type 2 responses during helminth infection","Tumor necrosis factor α is a critical component of interleukin 13-mediated protective T helper cell type 2 responses during helminth infection"
"Trypanosomes Modify the Behavior of Their Insect Hosts: Effects on Locomotion and on the Expression of a Related Gene","Trypanosomes Modify the Behavior of Their Insect Hosts: Effects on Locomotion and on the Expression of a Related Gene"
"Trypanosoma rangeli infection increases the exposure and predation endured by Rhodnius prolixus","Trypanosoma rangeli infection increases the exposure and predation endured by Rhodnius prolixus"
"Trypanosoma cruzi-infected Rhodnius prolixus endure increased predation facilitating parasite transmission to mammal hosts","Trypanosoma cruzi-infected Rhodnius prolixus endure increased predation facilitating parasite transmission to mammal hosts"
"Trypanosoma cruzi Subverts Host Cell Sialylation and May Compromise Antigen-specific CD8+ T Cell Responses","Trypanosoma cruzi Subverts Host Cell Sialylation and May Compromise Antigen-specific CD8+ T Cell Responses"
"Trypanosoma brucei Modifies the Tsetse Salivary Composition, Altering the Fly Feeding Behavior That Favors Parasite Transmission","Trypanosoma brucei Modifies the Tsetse Salivary Composition, Altering the Fly Feeding Behavior That Favors Parasite Transmission"
"Trypanosoma brucei brucei induces alteration in the head proteome of the tsetse fly vector Glossina palpalis gambiensis","Trypanosoma brucei brucei induces alteration in the head proteome of the tsetse fly vector Glossina palpalis gambiensis"
"Tricks of the puppet masters: morphological adaptations to the interaction with nervous system underlying host manipulation by rhizocephalan barnacle Polyascus polygeneus","Tricks of the puppet masters: morphological adaptations to the interaction with nervous system underlying host manipulation by rhizocephalan barnacle Polyascus polygeneus"
"Tricking Parents: A Review of Mechanisms and Signals of Host Manipulation by Brood-Parasitic Young","Tricking Parents: A Review of Mechanisms and Signals of Host Manipulation by Brood-Parasitic Young"
"Trichinella-induced immunomodulation: Another tale of helminth success","Trichinella-induced immunomodulation: Another tale of helminth success"
"Trichinella spiralis:inflammation modulator","Trichinella spiralis:inflammation modulator"
"Trematode-induced alterations in shell shape of the mud snail Zeacumantus subcarinatus (Prosobranchia: Batillariidae)","Trematode-induced alterations in shell shape of the mud snail Zeacumantus subcarinatus (Prosobranchia: Batillariidae)"
"Trematode Parasite Infection Affects Temperature Selection in Aquatic Host Snails*","Trematode parasites of Otago Harbour (New Zealand) soft-sediment intertidal ecosystems: life cycles, ecological roles and DNA barcodes"
"Trematode Diplostomum pseudospathaceum (Diplostomidae) Larvae Penetrate the Underyearlings of Oncorhynchus mykiss (Salmonidae) and Manipulate Their Behavior","Trematode parasites have minimal effect on the behavior of invasive green crabs"
"Trematode parasites of Otago Harbour (New Zealand) soft-sediment intertidal ecosystems: life cycles, ecological roles and DNA barcodes","Trematode Parasite Infection Affects Temperature Selection in Aquatic Host Snails*"
"Trematode parasites have minimal effect on the behavior of invasive green crabs","Trematode infection alters the antipredator behavior of a pulmonate snail"
"Trematode infection alters the antipredator behavior of a pulmonate snail","Trematode Diplostomum pseudospathaceum (Diplostomidae) Larvae Penetrate the Underyearlings of Oncorhynchus mykiss (Salmonidae) and Manipulate Their Behavior"
"Treatment failure in leishmaniasis: drug-resistance or another (epi-) phenotype?","Treatment failure in leishmaniasis: drug-resistance or another (epi-) phenotype?"
"Transplantation of a polyembryonic wasp embryo: a technique for transferring endoparasitic embryo into the host egg","Transplantation of a polyembryonic wasp embryo: a technique for transferring endoparasitic embryo into the host egg"
"Transmission traits of malaria parasites within the mosquito: Genetic variation, phenotypic plasticity, and consequences for control","Transmission traits of malaria parasites within the mosquito: Genetic variation, phenotypic plasticity, and consequences for control"
"Transmission mechanisms shape pathogen effects on host-vector interactions: evidence from plant viruses","Transmission mechanisms shape pathogen effects on host-vector interactions: evidence from plant viruses"
"Transient transfection of Echinococcus multilocularis primary cells and complete in vitro regeneration of metacestode vesicles","Transient transfection of Echinococcus multilocularis primary cells and complete in vitro regeneration of metacestode vesicles"
"Transient transfection of Babesia ovis using heterologous promoters","Transient transfection of Babesia ovis using heterologous promoters"
"Transient reporter gene expression in oocysts and sporozoites of Cryptosporidium parvum controlled by endogenous promoters","Transient reporter gene expression in oocysts and sporozoites of Cryptosporidium parvum controlled by endogenous promoters"
"Transient nature of Toxoplasma gondii-induced behavioral changes in mice","Transient nature of Toxoplasma gondii-induced behavioral changes in mice"
"Transgenic Plasmodium knowlesi: relieving a bottleneck in malaria research?","Transgenic Plasmodium knowlesi: relieving a bottleneck in malaria research?"
"Transgenic Leishmania and the immune response to infection","Transgenic Leishmania and the immune response to infection"
"Transgenesis in Strongyloides and related parasitic nematodes: historical perspectives, current functional genomic applications and progress towards gene disruption and editing","Transgenesis in Strongyloides and related parasitic nematodes: historical perspectives, current functional genomic applications and progress towards gene disruption and editing"
"Transcriptomics of an extended phenotype: parasite manipulation of wasp social behaviour shifts expression of caste-related genes","Transcriptomics of an extended phenotype: parasite manipulation of wasp social behaviour shifts expression of caste-related genes"
"Transcriptome analysis provides insight into venom evolution in a seed-parasitic wasp, Megastigmus spermotrophus","Transcriptome analysis provides insight into venom evolution in a seed-parasitic wasp, Megastigmus spermotrophus"
"Transcriptome analysis of the brain of the silkworm Bombyx mori infected with Bombyx mori nucleopolyhedrovirus: A new insight into the molecular mechanism of enhanced locomotor activity induced by viral infection","Transcriptome analysis of the brain of the silkworm Bombyx mori infected with Bombyx mori nucleopolyhedrovirus: A new insight into the molecular mechanism of enhanced locomotor activity induced by viral infection"
"Transcriptional Profiling Suggests T Cells Cluster around Neurons Injected with Toxoplasma gondii Proteins","Transcriptional Profiling Suggests T Cells Cluster around Neurons Injected with Toxoplasma gondii Proteins"
"Transcriptional patterns of sexual dimorphism and in host developmental programs in the model parasitic nematode Heligmosomoides bakeri","Transcriptional patterns of sexual dimorphism and in host developmental programs in the model parasitic nematode Heligmosomoides bakeri"
"Transcriptional modification of host cells harboring Toxoplasma gondii bradyzoites prevents IFN gamma-mediated cell death","Transcriptional modification of host cells harboring Toxoplasma gondii bradyzoites prevents IFN gamma-mediated cell death"
"Traits of a mussel transmissible cancer are reminiscent of a parasitic life style","Traits of a mussel transmissible cancer are reminiscent of a parasitic life style"
"Trade-offs and benefits: implications of promoting a strong immunity to gastrointestinal parasites in sheep","Trade-offs and benefits: implications of promoting a strong immunity to gastrointestinal parasites in sheep"
"Toxoplasmosis: Recent Advances in Understanding the Link Between Infection and Host Behavior","Toxoplasmosis: Recent Advances in Understanding the Link Between Infection and Host Behavior"
"Toxoplasmosis: A pathway to neuropsychiatric disorders","Toxoplasmosis: A pathway to neuropsychiatric disorders"
"Toxoplasma-induced autophagy A window into nutritional futile cycles in mammalian cells?","Toxoplasma-induced autophagy A window into nutritional futile cycles in mammalian cells?"
"Toxoplasma Uses GRA16 To Upregulate Host c-Myc","Toxoplasma Uses GRA16 To Upregulate Host c-Myc"
"Toxoplasma protein export and effector function","Toxoplasma Transcription Factor TgAP2XI-5 Regulates the Expression of Genes Involved in Parasite Virulence and Host Invasion"
"Toxoplasma gondii scavenges mammalian host organelles through the usurpation of host ESCRT-III and Vps4A","Toxoplasma protein export and effector function"
"Toxoplasma Transcription Factor TgAP2XI-5 Regulates the Expression of Genes Involved in Parasite Virulence and Host Invasion","Toxoplasma gondii-induced neuronal alterations"
"Toxoplasma gondii-induced neuronal alterations","Toxoplasma gondii:: the model apicomplexan"
"Toxoplasma gondii:: the model apicomplexan","Toxoplasma gondii: One Organism, Multiple Models"
"Toxoplasma gondii: host-parasite interaction and behavior manipulation","Toxoplasma gondii: host-parasite interaction and behavior manipulation"
"Toxoplasma gondii: One Organism, Multiple Models","Toxoplasma gondii scavenges mammalian host organelles through the usurpation of host ESCRT-III and Vps4A"
"Toxoplasma gondii Proliferation Require Down-Regulation of Host Nox4 Expression via Activation of PI3 Kinase/Akt Signaling Pathway","Toxoplasma gondii Proliferation Require Down-Regulation of Host Nox4 Expression via Activation of PI3 Kinase/Akt Signaling Pathway"
"Toxoplasma gondii Manipulates Expression of Host Long Noncoding RNA during Intracellular Infection","Toxoplasma gondii Manipulates Expression of Host Long Noncoding RNA during Intracellular Infection"
"Toxoplasma gondii Is Dependent on Glutamine and Alters Migratory Profile of Infected Host Bone Marrow Derived Immune Cells through SNAT2 and CXCR4 Pathways","Toxoplasma gondii Is Dependent on Glutamine and Alters Migratory Profile of Infected Host Bone Marrow Derived Immune Cells through SNAT2 and CXCR4 Pathways"
"Toxoplasma gondii infections are associated with costly boldness toward felids in a wild host","Toxoplasma gondii infections are associated with costly boldness toward felids in a wild host"
"Toxoplasma gondii infection, from predation to schizophrenia: can animal behaviour help us understand human behaviour?","Toxoplasma gondii infection, from predation to schizophrenia: can animal behaviour help us understand human behaviour?"
"Toxoplasma gondii infection induces dendritic retraction in basolateral amygdala accompanied by reduced corticosterone secretion","Toxoplasma gondii infection reduces predator aversion in rats through epigenetic modulation in the host medial amygdala"
"Toxoplasma gondii Infection Causes an Atypical Abundance of Oxytocin and Its Receptor in the Female Rat Brain","Toxoplasma gondii infection induces dendritic retraction in basolateral amygdala accompanied by reduced corticosterone secretion"
"Toxoplasma gondii infection and testosterone congruently increase tolerance of male rats for risk of reward forfeiture","Toxoplasma gondii infection enhances testicular steroidogenesis in rats"
"Toxoplasma gondii infection and behaviour - location, location, location?","Toxoplasma gondii Infection Causes an Atypical Abundance of Oxytocin and Its Receptor in the Female Rat Brain"
"Toxoplasma gondii infection reduces predator aversion in rats through epigenetic modulation in the host medial amygdala","Toxoplasma gondii infection and testosterone congruently increase tolerance of male rats for risk of reward forfeiture"
"Toxoplasma gondii infection enhances testicular steroidogenesis in rats","Toxoplasma gondii infection and behaviour - location, location, location?"
"Toxoplasma gondii in vitro cultivation: Economic and efficient mass production","Toxoplasma gondii in vitro cultivation: Economic and efficient mass production"
"Toxocara in the mouse:: a model for parasite-altered host behaviour?","Toxocara in the mouse:: a model for parasite-altered host behaviour?"
"Towards a new conceptual approach to 'parasitoproteomics'","Towards a new conceptual approach to 'parasitoproteomics'"
"Toward silencing the burden of malaria: progress and prospects for RNAi-based approaches","Toward silencing the burden of malaria: progress and prospects for RNAi-based approaches"
"Totipotent nutritive cells and indeterminate growth in galls of Ditylenchus gallaeformans (Nematoda) on reproductive apices of Miconia","Totipotent nutritive cells and indeterminate growth in galls of Ditylenchus gallaeformans (Nematoda) on reproductive apices of Miconia"
"Topic modeling of major research themes in disease ecology of mammals","Topic modeling of major research themes in disease ecology of mammals"
"Tools for the Genetic Manipulation of Herpetomonas muscarum","Tools for the Genetic Manipulation of Herpetomonas muscarum"
"Tonic Shock Induces Detachment of Giardia lamblia","Tonic Shock Induces Detachment of Giardia lamblia"
"To block or not to block: The adaptive manipulation of plague transmission","To block or not to block: The adaptive manipulation of plague transmission"
"TLRs, Treg, and B cells, an interplay of regulation during helminth infection","TLRs, Treg, and B cells, an interplay of regulation during helminth infection"
"Tissue-specific gene expression shows a cynipid wasp repurposes oak host gene networks to create a complex and novel parasite-specific organ","Tissue-specific gene expression shows a cynipid wasp repurposes oak host gene networks to create a complex and novel parasite-specific organ"
"TIMPs of parasitic helminths - a large-scale analysis of high-throughput sequence datasets","TIMPs of parasitic helminths - a large-scale analysis of high-throughput sequence datasets"
"Timely trigger of caterpillar zombie behaviour: temporal requirements for light in baculovirus-induced tree-top disease","Timely trigger of caterpillar zombie behaviour: temporal requirements for light in baculovirus-induced tree-top disease"
"Tidal elevation and parasitism: patterns of infection by the rhizocephalan parasite Sacculina carcini in shore crabs Carcinus maenas","Tidal elevation and parasitism: patterns of infection by the rhizocephalan parasite Sacculina carcini in shore crabs Carcinus maenas"
"Tick-tock, racing the clock: parasitism is associated with decreased sprint performance in the Eastern fence lizard","Tick-tock, racing the clock: parasitism is associated with decreased sprint performance in the Eastern fence lizard"
"Tick range expansion to higher elevations: does Borrelia burgdorferi sensu lato facilitate the colonisation of marginal habitats?","Tick range expansion to higher elevations: does Borrelia burgdorferi sensu lato facilitate the colonisation of marginal habitats?"
"Tick parasitism impairs contest behavior in the western fence lizard (Sceloporus occidentalis)","Tick parasitism impairs contest behavior in the western fence lizard (Sceloporus occidentalis)"
"Tick - Borrelia interactions: burden or benefit?","Tick - Borrelia interactions: burden or benefit?"
"Three-dimensional visualization and a deep-learning model reveal complex fungal parasite networks in behaviorally manipulated ants","Three-dimensional visualization and a deep-learning model reveal complex fungal parasite networks in behaviorally manipulated ants"
"THINNING REDUCES THE EFFECT OF RUST INFECTION ON JEWELWEED (IMPATIENS-CAPENSIS)","THINNING REDUCES THE EFFECT OF RUST INFECTION ON JEWELWEED (IMPATIENS-CAPENSIS)"
"THERMAL ECOLOGY OF A MALARIAL PARASITE AND ITS INSECT VECTOR - CONSEQUENCES FOR THE PARASITES TRANSMISSION SUCCESS","THERMAL ECOLOGY OF A MALARIAL PARASITE AND ITS INSECT VECTOR - CONSEQUENCES FOR THE PARASITES TRANSMISSION SUCCESS"
"Thermal Change and the Dynamics of Multi-Host Parasite Life Cycles in Aquatic Ecosystems","Thermal Change and the Dynamics of Multi-Host Parasite Life Cycles in Aquatic Ecosystems"
"Theileria-transformed bovine leukocytes have cancer hallmarks","Theileria-transformed bovine leukocytes have cancer hallmarks"
"Theileria parasites subvert E2F signaling to stimulate leukocyte proliferation","Theileria parasites subvert E2F signaling to stimulate leukocyte proliferation"
"The Toxoplasma gondii Rhoptry Kinome Is Essential for Chronic Infection","The virus-immunity ecosystem"
"The Toxoplasma gondii parasitophorous vacuole membrane:: Transactions across the border","The virus infecting the parasitold Leptopilina boulardi exerts a specific action on superparasitism behaviour"
"The Schistosoma mansoni T2 ribonuclease omega-1 modulates inflammasome-dependent IL-1β secretion in macrophages","The Value of Artificial Stimuli in Behavioral Research: Making the Case for Egg Rejection Studies in Avian Brood Parasitism"
"The parasite's long arm: a tapeworm parasite induces behavioural changes in uninfected group members of its social host","The use of fluorescent fatty acid analogs as labels in trematode experimental infections"
"The parasite-induced surfacing behaviour in the cockle Austrovenus stutchburyi:: a test of an alternative hypothesis and identification of potential mechanisms","The ups and downs of life: population expansion and bottlenecks of helminth parasites through their complex life cycle"
"The parasite Schistocephalus solidus secretes proteins with putative host manipulation functions","The truth about in vitro culture of Cryptosporidium species"
"The Parasite Load of Trypanosoma cruzi Modulates Feeding and Defecation Patterns of the Chagas Disease Vector Triatoma infestans","The true cost of host manipulation by parasites"
"The manipulation of rat behaviour by Toxoplasma gondii","The Toxoplasma gondii Rhoptry Kinome Is Essential for Chronic Infection"
"The Adaptive Host Manipulation Hypothesis: Parasites Modify the Behaviour, Morphology, and Physiology of Amphibians","The Toxoplasma gondii parasitophorous vacuole membrane:: Transactions across the border"
"The virus-immunity ecosystem","The tapeworm Ligula intestinalis alters the behavior of the fish intermediate host Engraulicypris sardella, but only after it has become infective to the final host"
"The virus infecting the parasitold Leptopilina boulardi exerts a specific action on superparasitism behaviour","The strings of the puppet master: how parasites change host behavior"
"The Value of Artificial Stimuli in Behavioral Research: Making the Case for Egg Rejection Studies in Avian Brood Parasitism","The stickleback-Schistocephalus host-parasite system as a model for understanding the effect of a macroparasite on host reproduction"
"The use of fluorescent fatty acid analogs as labels in trematode experimental infections","The significance of cerebral toxocariasis: a model system for exploring the link between brain involvement, behaviour and the immune response"
"The ups and downs of life: population expansion and bottlenecks of helminth parasites through their complex life cycle","The shikimate pathway enzyme that generates chorismate is not required for the development of Plasmodium berghei in the mammalian host nor the mosquito vector"
"The truth about in vitro culture of Cryptosporidium species","The secretome of a parasite alters its host's behaviour but does not recapitulate the behavioural response to infection"
"The true cost of host manipulation by parasites","The Schistosoma mansoni T2 ribonuclease omega-1 modulates inflammasome-dependent IL-1β secretion in macrophages"
"The tapeworm Ligula intestinalis alters the behavior of the fish intermediate host Engraulicypris sardella, but only after it has become infective to the final host","The saboteur's tools: Common mechanistic themes across manipulative symbioses"
"The strings of the puppet master: how parasites change host behavior","THE ROLES OF ECOLOGICAL AND EVOLUTIONARY INFLUENCES IN PROVIDING STRUCTURE TO PARASITE SPECIES ASSEMBLAGES"
"The stickleback-Schistocephalus host-parasite system as a model for understanding the effect of a macroparasite on host reproduction","The role of Toxoplasma gondii-produced tyrosine hydroxylase (TgTH) in parasite manipulation of host behaviour"
"The significance of cerebral toxocariasis: a model system for exploring the link between brain involvement, behaviour and the immune response","The role of specific Toxoplasma gondii molecules in manipulation of innate immunity"
"The shikimate pathway enzyme that generates chorismate is not required for the development of Plasmodium berghei in the mammalian host nor the mosquito vector","The role of small-scale environmental gradients on trematode infection"
"The secretome of a parasite alters its host's behaviour but does not recapitulate the behavioural response to infection","The role of sex in parasite dynamics:: Model simulations on transmission of Heligmosomoides polygyrus in populations of yellow-necked mice, Apodemus flavicollis"
"The saboteur's tools: Common mechanistic themes across manipulative symbioses","The Role of PI3K/AKT Pathway and NADPH Oxidase 4 in Host ROS Manipulation by Toxoplasma gondii"
"THE ROLES OF ECOLOGICAL AND EVOLUTIONARY INFLUENCES IN PROVIDING STRUCTURE TO PARASITE SPECIES ASSEMBLAGES","The role of parasites and pathogens in influencing generalised anxiety and predation-related fear in the mammalian central nervous system"
"The role of Toxoplasma gondii-produced tyrosine hydroxylase (TgTH) in parasite manipulation of host behaviour","The role of microsporidian polar tube protein 4 (PTP4) in host cell infection"
